,gripper,time
236,False,1727269616705286296
237,False,1727269616715705645
238,False,1727269616726284164
239,False,1727269616736794635
240,False,1727269616747289509
241,False,1727269616757863204
242,False,1727269616768315659
243,False,1727269616778811072
244,False,1727269616789277755
245,False,1727269616799697925
246,False,1727269616810278354
247,False,1727269616820764516
248,False,1727269616831258196
249,False,1727269616841836743
250,False,1727269616852395294
251,False,1727269616862963442
252,False,1727269616873443431
253,False,1727269616883904610
254,False,1727269616894324058
255,False,1727269616904809876
256,False,1727269616915298463
257,False,1727269616925856081
258,False,1727269616936314521
259,False,1727269616946781048
260,False,1727269616957257430
261,False,1727269616967682171
262,False,1727269616978369005
263,False,1727269616988615411
264,False,1727269616998815111
265,False,1727269617009019865
266,False,1727269617019513069
267,False,1727269617030184339
268,False,1727269617040695886
269,False,1727269617051190164
270,False,1727269617061742801
271,False,1727269617072207688
272,False,1727269617082715090
273,False,1727269617093273932
274,False,1727269617103787597
275,False,1727269617114420312
276,False,1727269617124719005
277,False,1727269617135081714
278,False,1727269617145327064
279,False,1727269617155618874
280,False,1727269617166066229
281,False,1727269617176497704
282,False,1727269617187026698
283,False,1727269617197546149
284,False,1727269617208055196
285,False,1727269617218676095
286,False,1727269617229193355
287,False,1727269617239716652
288,False,1727269617250287211
289,False,1727269617260840961
290,False,1727269617271344778
291,False,1727269617282026636
292,False,1727269617292515531
293,False,1727269617303034419
294,False,1727269617313596661
295,False,1727269617324048976
296,False,1727269617334553528
297,False,1727269617345040759
298,False,1727269617355501388
299,False,1727269617366112723
300,False,1727269617376582596
301,False,1727269617386991646
302,False,1727269617397380206
303,False,1727269617407673018
304,False,1727269617418012475
305,False,1727269617428195293
306,False,1727269617438451959
307,False,1727269617448778617
308,False,1727269617459253623
309,False,1727269617469770080
310,False,1727269617480266706
311,False,1727269617490749655
312,False,1727269617501226878
313,False,1727269617511647629
314,False,1727269617522251812
315,False,1727269617532744054
316,False,1727269617543273606
317,False,1727269617553826035
318,False,1727269617564294217
319,False,1727269617574804503
320,False,1727269617585315550
321,False,1727269617595775795
322,False,1727269617606303575
323,False,1727269617616795195
324,False,1727269617627301369
325,False,1727269617637862584
326,False,1727269617648309084
327,False,1727269617658824552
328,False,1727269617669301802
329,False,1727269617679723311
330,False,1727269617690278813
331,False,1727269617700700757
332,False,1727269617711182997
333,False,1727269617721551834
334,False,1727269617731828712
335,False,1727269617742143282
336,False,1727269617752329296
337,False,1727269617762761187
338,False,1727269617773074813
339,False,1727269617783360642
340,False,1727269617793857412
341,False,1727269617804322362
342,False,1727269617814842321
343,False,1727269617825326422
344,False,1727269617835791301
345,False,1727269617846302372
346,False,1727269617856797460
347,False,1727269617867309909
348,False,1727269617877868103
349,False,1727269617888353573
350,False,1727269617898867616
351,False,1727269617909377316
352,False,1727269617919839887
353,False,1727269617930311483
354,False,1727269617940755340
355,False,1727269617951295050
356,False,1727269617961865692
357,False,1727269617972127963
358,False,1727269617982305369
359,False,1727269617992772460
360,False,1727269618003291508
361,False,1727269618013870096
362,False,1727269618024326110
363,False,1727269618034787315
364,False,1727269618045235917
365,False,1727269618055657701
366,False,1727269618066242798
367,False,1727269618076680268
368,False,1727269618087172474
369,False,1727269618097401666
370,False,1727269618107811355
371,False,1727269618118319131
372,False,1727269618128856987
373,False,1727269618139361841
374,False,1727269618149974487
375,False,1727269618160489888
376,False,1727269618171039290
377,False,1727269618181588686
378,False,1727269618192111345
379,False,1727269618202600617
380,False,1727269618213155308
381,False,1727269618223671787
382,False,1727269618234232623
383,False,1727269618244774109
384,False,1727269618255334609
385,False,1727269618265947101
386,False,1727269618276488714
387,False,1727269618287042309
388,False,1727269618297570133
389,False,1727269618308079439
390,False,1727269618318599477
391,False,1727269618329154123
392,False,1727269618339674929
393,False,1727269618350274816
394,False,1727269618360808309
395,False,1727269618371356063
396,False,1727269618381968325
397,False,1727269618392494988
398,False,1727269618403042504
399,False,1727269618413556252
400,False,1727269618424106460
401,False,1727269618434630008
402,False,1727269618445186222
403,False,1727269618455655479
404,False,1727269618466209237
405,False,1727269618477036012
406,False,1727269618487329465
407,False,1727269618497852135
408,False,1727269618508417515
409,False,1727269618518968139
410,False,1727269618529495459
411,False,1727269618540047093
412,False,1727269618550563628
413,False,1727269618561122887
414,False,1727269618571644069
415,False,1727269618582274442
416,False,1727269618592491503
417,False,1727269618602981142
418,False,1727269618613499027
419,False,1727269618624052402
420,False,1727269618634576507
421,False,1727269618645133779
422,False,1727269618655607960
423,False,1727269618666212882
424,False,1727269618676755168
425,False,1727269618687306757
426,False,1727269618697861364
427,False,1727269618708438210
428,False,1727269618718984611
429,False,1727269618729505590
430,False,1727269618740057091
431,False,1727269618750578881
432,False,1727269618761132736
433,False,1727269618771644946
434,False,1727269618782246696
435,False,1727269618792791705
436,False,1727269618803352686
437,False,1727269618813961043
438,False,1727269618824475990
439,False,1727269618835032347
440,False,1727269618845542895
441,False,1727269618856090607
442,False,1727269618866570649
443,False,1727269618877127597
444,False,1727269618887603482
445,False,1727269618898224892
446,False,1727269618908765908
447,False,1727269618919319695
448,False,1727269618929871361
449,False,1727269618940417600
450,False,1727269618950970819
451,False,1727269618961488924
452,False,1727269618971745392
453,False,1727269618982306649
454,False,1727269618992825526
455,False,1727269619003377338
456,False,1727269619013950737
457,False,1727269619024480450
458,False,1727269619034994520
459,False,1727269619045439594
460,False,1727269619056004998
461,False,1727269619066553740
462,False,1727269619077087787
463,False,1727269619087506315
464,False,1727269619097744207
465,False,1727269619107988321
466,False,1727269619118224460
467,False,1727269619128417157
468,False,1727269619138877074
469,False,1727269619149191575
470,False,1727269619159654063
471,False,1727269619170253614
472,False,1727269619180786789
473,False,1727269619191342634
474,False,1727269619201921753
475,False,1727269619212450118
476,False,1727269619223022318
477,False,1727269619233537115
478,False,1727269619244090537
479,False,1727269619254614243
480,False,1727269619265164391
481,False,1727269619275683481
482,False,1727269619286223809
483,False,1727269619296762092
484,False,1727269619307324058
485,False,1727269619317917983
486,False,1727269619328453137
487,False,1727269619339005951
488,False,1727269619349518580
489,False,1727269619360065259
490,False,1727269619370577206
491,False,1727269619381146808
492,False,1727269619391674792
493,False,1727269619402258299
494,False,1727269619412793592
495,False,1727269619423351022
496,False,1727269619433940552
497,False,1727269619444460639
498,False,1727269619455008876
499,False,1727269619465519992
500,False,1727269619475772574
501,False,1727269619486299833
502,False,1727269619496857044
503,False,1727269619507315499
504,False,1727269619517903913
505,False,1727269619528400261
506,False,1727269619538913402
507,False,1727269619549426328
508,False,1727269619559934275
509,False,1727269619570401016
510,False,1727269619580969652
511,False,1727269619591442999
512,False,1727269619602085532
